2015-02-10 13:23:21,845 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-10 13:23:21,852 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-10 13:27:02,650 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-10 13:27:02,656 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/main/resources
2015-02-10 13:27:02,658 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-10 13:27:02,664 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /remote_opt/workspace/git/fileMapper/src/test/resources
2015-02-11 08:44:43,670 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fileMapper:fileMapperCell:0.0.1-SNAPSHOT @ /remote_opt/workspace/git/fileMapper/pom.xml.
2015-02-11 08:44:43,929 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:jar:2.0-m2 is missing, no dependency information available
2015-02-11 08:44:44,458 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: idiginfo.i2b2.data_simulator:idiginfo.i2b2.data_simulator:0.0.1-SNAPSHOT @ /remote_opt/workspace/git/idiginfo.i2b2.data_simulator/pom.xml.
2015-02-11 08:44:44,520 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: idiginfo.i2b2.testing:dao:0.0.1-SNAPSHOT @ /remote_opt/workspace/git/idiginfo.i2b2.stats/pom.xml.
2015-02-11 09:28:19,769 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:jar:2.0-m2 is missing, no dependency information available
2015-02-11 09:28:20,286 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
